name,dept,hiredate
Salazar Janice ,ACC,2003-11-08
Benitez Roger F,ACC,2003-11-29
Suarez Charles ,ACC,2004-04-11
Baldwin Natalie G,ACC,2004-12-05
Barron Adam G,ACC,2005-04-29
Potter Peter J,ACC,2006-09-05
Jordan Sandra ,ACC,2006-11-27
Sweeney Tyler J,ACC,2007-04-27
Kim Jesse P,ACC,2007-04-30
Little Eugene P,ACC,2007-05-01
Lozano Jesse G,ACC,2008-07-20
Huff Daniel ,ACC,2009-02-20
Briggs Sean ,ACC,2009-05-09
Arnold James ,ACC,2010-01-27
Huynh Kenneth W,ACC,2010-03-08
Bryan Alan G,ACC,2010-08-28
Skinner Timothy A,ACC,2010-11-02
Jones William ,ACC,2011-01-16
Rice Judy G,ACC,2011-03-11
Cameron Anthony ,ACC,2011-06-05
Harvey Roger W,ACC,2011-09-20
Rubio Lawrence ,ACC,2011-11-14
Rojas Alan G,ACC,2011-11-16
Riley Paul ,ACC,2012-01-01
Dennis Thomas F,ACC,2012-01-07
Cruz Peter F,ACC,2012-01-28
Christensen Nicholas ,ACC,2012-05-26
Todd Walter G,ACC,2012-06-23
Reese Raymond G,ACC,2012-09-02
Salas Matthew J,ACC,2012-10-10
Monroe Paul F,ACC,2012-10-28
Cunningham Christopher G,ACC,2013-01-11
Bowen Richard ,ACC,2013-02-24
Miranda Cynthia F,ACC,2013-05-10
Mann Sara A,ACC,2013-06-12
Greer Wayne ,ACC,2013-11-24
Cox Albert F,ACC,2013-12-04
Hansen Michael A,ACC,2014-04-26
Ingram Dylan J,ACC,2014-09-26
Freeman Maria F,ACC,2015-01-07
Andrews Steven F,ACC,2015-02-16
Sutton Katherine W,ACC,2015-05-29
Gomez Tyler ,ACC,2015-05-31
Hunter Evelyn ,ACC,2015-06-29
Vasquez Lisa W,ACC,2015-07-28
Rivas Ronald ,ACC,2015-08-20
Chang Abigail ,ACC,2015-08-24
Curtis Sarah F,ACC,2015-08-24
Nichols Amber G,ACC,2015-09-16
Phillips Aaron P,ACC,2015-11-01
Reynolds Michelle F,ACC,2015-11-29
Carroll Donald A,ACC,2015-12-10
Fletcher Madison F,ACC,2015-12-11
Walsh Russell F,ACC,2015-12-16
Holt Christina J,ACC,2016-03-03
Tyler Thomas F,ACC,2016-03-18
Barrett Betty A,ACC,2016-03-31
Warren Marie ,ACC,2016-05-19
Henry Carolyn J,ACC,2016-05-24
Villanueva Scott W,ACC,2016-06-23
Patterson Ashley ,ACC,2016-07-04
Anthony Steven F,ACC,2016-10-12
Douglas Nancy ,ACC,2016-10-13
Stone Sara ,ACC,2016-11-29
Johnston Edward P,ACC,2016-12-09
Gutierrez Gerald ,ACC,2016-12-22
Rodgers Jason ,ACC,2016-12-29
Reid Joe ,ACC,2017-01-20
Li Lawrence A,ACC,2017-02-04
Willis Ryan ,ACC,2017-03-14
Sandoval Nicholas ,ACC,2017-07-19
Keller Ashley P,ACC,2017-08-10
Goodwin Henry A,ACC,2017-08-13
Gates Jack ,ACC,2017-12-20
Morgan Arthur W,ACC,2018-08-15
Flynn Eric J,ACC,2018-09-06
Simon Alexis W,ACC,2018-11-26
Campbell Alexander A,ACC,2018-12-30
Mullins Carl F,COMP,2003-03-15
Black Kathryn A,COMP,2003-05-13
Rivera Patrick ,COMP,2004-01-21
Mcdonald Christine W,COMP,2005-01-05
Daniel Sophia G,COMP,2005-04-28
Nguyen Justin G,COMP,2006-02-02
Hampton Willie ,COMP,2006-07-09
Estrada Justin J,COMP,2007-02-12
Steele Joyce ,COMP,2007-08-22
Petersen Christian F,COMP,2007-10-02
Person Vincent G,COMP,2009-11-09
Wolf Austin ,COMP,2010-02-24
Sosa Jerry F,COMP,2010-04-08
Carlson Aaron P,COMP,2010-05-05
Hicks Jacqueline ,COMP,2010-05-08
Barnett Melissa W,COMP,2010-09-07
Cervantes Denise G,COMP,2010-09-25
Robbins Charles F,COMP,2010-12-13
Dunn Alexis G,COMP,2011-03-11
Montoya Zachary G,COMP,2011-07-01
Rangel Bryan J,COMP,2011-09-02
Garner Benjamin W,COMP,2011-09-17
Cannon Roger F,COMP,2011-10-22
Davidson Mary ,COMP,2012-02-11
Hanson Noah F,COMP,2012-09-20
Cochran Gerald G,COMP,2012-11-01
Vazquez Robert G,COMP,2012-11-06
Brock Patrick A,COMP,2013-02-07
